"AREA_ID","AREA_NAME","AREA_TYPE","OLD_PROVINCE","CREATED_AT","IS_DELETED","UPDATED_AT"
"1",Sài Gòn,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"2",Tân Định,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"3",Bến Thành,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"4",Cầu Ông Lãnh,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"5",Bàn Cờ,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"6",Xuân Hòa,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"7",Nhiêu Lộc,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"8",Xóm Chiếu,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"9",Khánh Hội,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"10",Vĩnh Hội,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"11",Chợ Quán,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"12",An Đông,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"13",Chợ Lớn,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"14",Bình Tây,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"15",Bình Tiên,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"16",Bình Phú,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"17",Phú Lâm,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"18",Tân Thuận,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"19",Phú Thuận,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"20",Tân Mỹ,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"21",Tân Hưng,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"22",Chánh Hưng,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"23",Phú Định,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"24",Bình Đông,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"25",Diên Hồng,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"26",Vườn Lài,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"27",Hòa Hưng,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"28",Minh Phụng,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"29",Bình Thới,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"30",Hòa Bình,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"31",Phú Thọ,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"32",Đông Hưng Thuận,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"33",Trung Mỹ Tây,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"34",Tân Thới Hiệp,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"35",Thới An,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"36",An Phú Đông,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"37",An Lạc,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"38",Bình Tân,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"39",Tân Tạo,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"40",Bình Trị Đông,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"41",Bình Hưng Hòa,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"42",Gia Định,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"43",Bình Thạnh,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"44",Bình Lợi Trung,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"45",Thạnh Mỹ Tây,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"46",Bình Quới,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"47",Hạnh Thông,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"48",An Nhơn,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"49",Gò Vấp,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"50",An Hội Đông,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"51",Thông Tây Hội,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"52",An Hội Tây,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"53",Đức Nhuận,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"54",Cầu Kiệu,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"55",Phú Nhuận,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"56",Tân Sơn Hòa,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"57",Tân Sơn Nhất,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"58",Tân Hòa,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"59",Bảy Hiền,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"60",Tân Bình,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"61",Tân Sơn,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"62",Tây Thạnh,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"63",Tân Sơn Nhì,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"64",Phú Thọ Hòa,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"65",Tân Phú,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"66",Phú Thạnh,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"67",Hiệp Bình,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"68",Thủ Đức,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"69",Tam Bình,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"70",Linh Xuân,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"71",Tăng Nhơn Phú,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"72",Long Bình,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"73",Long Phước,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
"74",Long Trường,Phường,TP.HCM cũ,2026-05-23 02:38:51.000,0,2026-05-24 05:41:05.000
